#GLoBES
#log10E	nue/E	numu/E	numtau/E	nuebar/E	numubar/E	nutaubar/E
-0.844	0.0603465519	0.0603465519	0	0.0541849382	0.0541849382	0
-0.84	0.0620636633	0.0620636633	0	0.0557711503	0.0557711503	0
-0.836	0.063796663	0.063796663	0	0.0573720395	0.0573720395	0
-0.832	0.065545698	0.065545698	0	0.0589877415	0.0589877415	0
-0.828	0.0673109165	0.0673109165	0	0.0606183934	0.0606183934	0
-0.824	0.0691193138	0.0691193138	0	0.0622558927	0.0622558927	0
-0.82	0.0729327487	0.0729327487	0	0.0632981823	0.0632981823	0
-0.816	0.0767814688	0.0767814688	0	0.0643501161	0.0643501161	0
-0.812	0.0806658007	0.0806658007	0	0.0654117834	0.0654117834	0
-0.808	0.0845860739	0.0845860739	0	0.0664832741	0.0664832741	0
-0.804	0.0885426209	0.0885426209	0	0.0675646792	0.0675646792	0
-0.8	0.0925357774	0.0925357774	0	0.0686560905	0.0686560905	0
-0.796	0.0965658821	0.0965658821	0	0.0697576004	0.0697576004	0
-0.792	0.1006332769	0.1006332769	0	0.0708693025	0.0708693025	0
-0.788	0.1047383069	0.1047383069	0	0.071991291	0.071991291	0
-0.784	0.1088813202	0.1088813202	0	0.0731236612	0.0731236612	0
-0.78	0.1130626684	0.1130626684	0	0.0742665091	0.0742665091	0
-0.776	0.1172827061	0.1172827061	0	0.0754199316	0.0754199316	0
-0.772	0.1215417913	0.1215417913	0	0.0765840266	0.0765840266	0
-0.768	0.1258402853	0.1258402853	0	0.0777588928	0.0777588928	0
-0.764	0.1301785529	0.1301785529	0	0.0789446299	0.0789446299	0
-0.76	0.1345569619	0.1345569619	0	0.0801413385	0.0801413385	0
-0.756	0.1389758839	0.1389758839	0	0.0813491202	0.0813491202	0
-0.752	0.1434356936	0.1434356936	0	0.0825680773	0.0825680773	0
-0.748	0.1479367694	0.1479367694	0	0.0837983132	0.0837983132	0
-0.744	0.1524794932	0.1524794932	0	0.0850399324	0.0850399324	0
-0.74	0.1570642503	0.1570642503	0	0.0862930402	0.0862930402	0
-0.736	0.1616914296	0.1616914296	0	0.0875577428	0.0875577428	0
-0.732	0.1663614237	0.1663614237	0	0.0888341476	0.0888341476	0
-0.728	0.1710746287	0.1710746287	0	0.0901223628	0.0901223628	0
-0.724	0.1758314445	0.1758314445	0	0.0914224977	0.0914224977	0
-0.72	0.1806322745	0.1806322745	0	0.0927346626	0.0927346626	0
-0.716	0.1854775261	0.1854775261	0	0.0940589688	0.0940589688	0
-0.712	0.1903676102	0.1903676102	0	0.0953955287	0.0953955287	0
-0.708	0.1953029418	0.1953029418	0	0.0967444556	0.0967444556	0
-0.704	0.2002839393	0.2002839393	0	0.098105864	0.098105864	0
-0.7	0.2053110255	0.2053110255	0	0.0994798693	0.0994798693	0
-0.696	0.2109350109	0.2109350109	0	0.1004619774	0.1004619774	0
-0.692	0.2167520396	0.2167520396	0	0.1013495137	0.1013495137	0
-0.688	0.2226228927	0.2226228927	0	0.1022452624	0.1022452624	0
-0.684	0.2285480681	0.2285480681	0	0.1031492993	0.1031492993	0
-0.68	0.2345280684	0.2345280684	0	0.1040617011	0.1040617011	0
-0.676	0.2405634011	0.2405634011	0	0.1049825453	0.1049825453	0
-0.672	0.2466545779	0.2466545779	0	0.10591191	0.10591191	0
-0.668	0.2528021158	0.2528021158	0	0.106849874	0.106849874	0
-0.664	0.2590065361	0.2590065361	0	0.1077965168	0.1077965168	0
-0.66	0.2652683652	0.2652683652	0	0.1087519188	0.1087519188	0
-0.656	0.2715881343	0.2715881343	0	0.1097161611	0.1097161611	0
-0.652	0.2779663795	0.2779663795	0	0.1106893253	0.1106893253	0
-0.648	0.2844036418	0.2844036418	0	0.1116714942	0.1116714942	0
-0.644	0.2909004674	0.2909004674	0	0.1126627509	0.1126627509	0
-0.64	0.2974574075	0.2974574075	0	0.1136631797	0.1136631797	0
-0.636	0.3040750181	0.3040750181	0	0.1146728652	0.1146728652	0
-0.632	0.3107538607	0.3107538607	0	0.1156918933	0.1156918933	0
-0.628	0.3174945019	0.3174945019	0	0.1167203504	0.1167203504	0
-0.624	0.3242975135	0.3242975135	0	0.1177583236	0.1177583236	0
-0.62	0.3311634726	0.3311634726	0	0.1188059011	0.1188059011	0
-0.616	0.3380929616	0.3380929616	0	0.1198631717	0.1198631717	0
-0.612	0.3450865684	0.3450865684	0	0.1209302251	0.1209302251	0
-0.608	0.3521448862	0.3521448862	0	0.1220071518	0.1220071518	0
-0.604	0.3592685138	0.3592685138	0	0.1230940432	0.1230940432	0
-0.6	0.3653436561	0.3653436561	0	0.1239705272	0.1239705272	0
-0.596	0.3706648452	0.3706648452	0	0.1246948441	0.1246948441	0
-0.592	0.3760352706	0.3760352706	0	0.1254258631	0.1254258631	0
-0.588	0.3814553879	0.3814553879	0	0.126163646	0.126163646	0
-0.584	0.386925657	0.386925657	0	0.1269082556	0.1269082556	0
