#GLoBES
#log10E	nue/E	numu/E	numtau/E	nuebar/E	numubar/E	nutaubar/E
0.3	0.8017206806	0.8017206806	0	0.3627065034	0.3627065034	0
0.304	0.8017682395	0.8017682395	0	0.3634955979	0.3634955979	0
0.308	0.8017473759	0.8017473759	0	0.3642919937	0.3642919937	0
0.312	0.801678916	0.801678916	0	0.3648958168	0.3648958168	0
0.316	0.8013685826	0.8013685826	0	0.3654997945	0.3654997945	0
0.32	0.8010553778	0.8010553778	0	0.366093867	0.366093867	0
0.324	0.8007473574	0.8007473574	0	0.366683019	0.366683019	0
0.328	0.8004431674	0.8004431674	0	0.3672724478	0.3672724478	0
0.332	0.8001361628	0.8001361628	0	0.367853645	0.367853645	0
0.336	0.7999675134	0.7999675134	0	0.3684402249	0.3684402249	0
0.34	0.7997981658	0.7997981658	0	0.369056069	0.369056069	0
0.344	0.7996577527	0.7996577527	0	0.3696776115	0.3696776115	0
0.348	0.7995469264	0.7995469264	0	0.3702856051	0.3702856051	0
0.352	0.7994353589	0.7994353589	0	0.3708934923	0.3708934923	0
0.356	0.7993273801	0.7993273801	0	0.3714928866	0.3714928866	0
0.36	0.7992184023	0.7992184023	0	0.3720878999	0.3720878999	0
0.364	0.7991812324	0.7991812324	0	0.3726979786	0.3726979786	0
0.368	0.799179433	0.799179433	0	0.3733255485	0.3733255485	0
0.372	0.7992001658	0.7992001658	0	0.3739582326	0.3739582326	0
0.376	0.7992656494	0.7992656494	0	0.3745954708	0.3745954708	0
0.38	0.7993315998	0.7993315998	0	0.3752317207	0.3752317207	0
0.384	0.7993955784	0.7993955784	0	0.3758568654	0.3758568654	0
0.388	0.799460149	0.799460149	0	0.3764816433	0.3764816433	0
0.392	0.7994233093	0.7994233093	0	0.3770953494	0.3770953494	0
0.396	0.7993625063	0.7993625063	0	0.3776412987	0.3776412987	0
0.4	0.7991160882	0.7991160882	0	0.37800653	0.37800653	0
0.404	0.798753098	0.798753098	0	0.3783693997	0.3783693997	0
0.408	0.7983933778	0.7983933778	0	0.3787242191	0.3787242191	0
0.412	0.7980378593	0.7980378593	0	0.3790771205	0.3790771205	0
0.416	0.7976839547	0.7976839547	0	0.3794261219	0.3794261219	0
0.42	0.7973354913	0.7973354913	0	0.3797721739	0.3797721739	0
0.424	0.7969960666	0.7969960666	0	0.3801161568	0.3801161568	0
0.428	0.79668322	0.79668322	0	0.3804657511	0.3804657511	0
0.432	0.7963732616	0.7963732616	0	0.3808196669	0.3808196669	0
0.436	0.7960766602	0.7960766602	0	0.3811666544	0.3811666544	0
0.44	0.7957802266	0.7957802266	0	0.3815144068	0.3815144068	0
0.444	0.7954889004	0.7954889004	0	0.3818550408	0.3818550408	0
0.448	0.7951981409	0.7951981409	0	0.3821952607	0.3821952607	0
0.452	0.7949118102	0.7949118102	0	0.3825312519	0.3825312519	0
0.456	0.7946292821	0.7946292821	0	0.3828632941	0.3828632941	0
0.46	0.7943541259	0.7943541259	0	0.3831936003	0.3831936003	0
0.464	0.7940814561	0.7940814561	0	0.383517554	0.383517554	0
0.468	0.7938112114	0.7938112114	0	0.3838412427	0.3838412427	0
0.472	0.7935443798	0.7935443798	0	0.3841601343	0.3841601343	0
0.476	0.7932782861	0.7932782861	0	0.384476579	0.384476579	0
0.48	0.7930169974	0.7930169974	0	0.3847917356	0.3847917356	0
0.484	0.7927511063	0.7927511063	0	0.3850737252	0.3850737252	0
0.488	0.792361812	0.792361812	0	0.3853258157	0.3853258157	0
0.492	0.7919656541	0.7919656541	3.47E-06	0.3855196398	0.3855196398	1.73E-06
0.496	0.791556729	0.791556729	2.40E-05	0.3857110612	0.3857110612	1.20E-05
0.5	0.7911508384	0.7911508384	4.47242050009429E-05	0.3859018112	0.3859018112	2.23195147634226E-05
0.504	0.7907473269	0.7907473269	6.56364435378675E-05	0.386089955	0.386089955	3.27557207675599E-05
0.508	0.7903503367	0.7903503367	8.67421806355627E-05	0.3862763642	0.3862763642	4.32884917969162E-05
0.512	0.7899562154	0.7899562154	0.0001080432	0.3864642327	0.3864642327	5.39187213566935E-05
