#GLoBES upto 10GeV
#log10E	nue/E	numu/E	numtau/E	nuebar/E	numubar/E	nutaubar/E
-0.864	0.2009010246	0.2009010246	0.2009010246	0.0276573623	0.0276573623	0.0276573623
-0.86	0.2024743947	0.2024743947	0.2024743947	0.0279048415	0.0279048415	0.0279048415
-0.856	0.2040623231	0.2040623231	0.2040623231	0.0281546106	0.0281546106	0.0281546106
-0.852	0.2056649444	0.2056649444	0.2056649444	0.0284066908	0.0284066908	0.0284066908
-0.848	0.2072823946	0.2072823946	0.2072823946	0.0286611035	0.0286611035	0.0286611035
-0.844	0.2089148108	0.2089148108	0.2089148108	0.0289178703	0.0289178703	0.0289178703
-0.84	0.2105623316	0.2105623316	0.2105623316	0.0291770128	0.0291770128	0.0291770128
-0.836	0.2122250967	0.2122250967	0.2122250967	0.0294385532	0.0294385532	0.0294385532
-0.832	0.2139032472	0.2139032472	0.2139032472	0.0297025136	0.0297025136	0.0297025136
-0.828	0.2155969255	0.2155969255	0.2155969255	0.0299689164	0.0299689164	0.0299689164
-0.824	0.2172998156	0.2172998156	0.2172998156	0.0302375381	0.0302375381	0.0302375381
-0.82	0.2185400404	0.2185400404	0.2185400404	0.0304904217	0.0304904217	0.0304904217
-0.816	0.2197917409	0.2197917409	0.2197917409	0.0307456451	0.0307456451	0.0307456451
-0.812	0.2210550232	0.2210550232	0.2210550232	0.0310032301	0.0310032301	0.0310032301
-0.808	0.2223299944	0.2223299944	0.2223299944	0.0312631984	0.0312631984	0.0312631984
-0.804	0.2236167629	0.2236167629	0.2236167629	0.0315255723	0.0315255723	0.0315255723
-0.8	0.2249154377	0.2249154377	0.2249154377	0.0317903738	0.0317903738	0.0317903738
-0.796	0.2262261289	0.2262261289	0.2262261289	0.0320576256	0.0320576256	0.0320576256
-0.792	0.2275489479	0.2275489479	0.2275489479	0.0323273501	0.0323273501	0.0323273501
-0.788	0.2288840067	0.2288840067	0.2288840067	0.0325995704	0.0325995704	0.0325995704
-0.784	0.2302314187	0.2302314187	0.2302314187	0.0328743096	0.0328743096	0.0328743096
-0.78	0.2315912982	0.2315912982	0.2315912982	0.0331515909	0.0331515909	0.0331515909
-0.776	0.2329637604	0.2329637604	0.2329637604	0.0334314378	0.0334314378	0.0334314378
-0.772	0.2343489219	0.2343489219	0.2343489219	0.0337138741	0.0337138741	0.0337138741
-0.768	0.2357469001	0.2357469001	0.2357469001	0.0339989237	0.0339989237	0.0339989237
-0.764	0.2371578137	0.2371578137	0.2371578137	0.0342866109	0.0342866109	0.0342866109
-0.76	0.2385817822	0.2385817822	0.2385817822	0.0345769601	0.0345769601	0.0345769601
-0.756	0.2400189266	0.2400189266	0.2400189266	0.0348699958	0.0348699958	0.0348699958
-0.752	0.2414693688	0.2414693688	0.2414693688	0.0351657429	0.0351657429	0.0351657429
-0.748	0.2429332317	0.2429332317	0.2429332317	0.0354642265	0.0354642265	0.0354642265
-0.744	0.2444106395	0.2444106395	0.2444106395	0.035765472	0.035765472	0.035765472
-0.74	0.2459017177	0.2459017177	0.2459017177	0.0360695049	0.0360695049	0.0360695049
-0.736	0.2474065926	0.2474065926	0.2474065926	0.0363763509	0.0363763509	0.0363763509
-0.732	0.248925392	0.248925392	0.248925392	0.0366860362	0.0366860362	0.0366860362
-0.728	0.2504582446	0.2504582446	0.2504582446	0.0369985869	0.0369985869	0.0369985869
-0.724	0.2520052806	0.2520052806	0.2520052806	0.0373140296	0.0373140296	0.0373140296
-0.72	0.2535666311	0.2535666311	0.2535666311	0.0376323911	0.0376323911	0.0376323911
-0.716	0.2551424286	0.2551424286	0.2551424286	0.0379536984	0.0379536984	0.0379536984
-0.712	0.2567328067	0.2567328067	0.2567328067	0.0382779786	0.0382779786	0.0382779786
-0.708	0.2583379005	0.2583379005	0.2583379005	0.0386052594	0.0386052594	0.0386052594
-0.704	0.259957846	0.259957846	0.259957846	0.0389355685	0.0389355685	0.0389355685
-0.7	0.2615927807	0.2615927807	0.2615927807	0.0392689339	0.0392689339	0.0392689339
-0.696	0.2627701134	0.2627701134	0.2627701134	0.039589451	0.039589451	0.039589451
-0.692	0.2638372292	0.2638372292	0.2638372292	0.0399088518	0.0399088518	0.0399088518
-0.688	0.2649142189	0.2649142189	0.2649142189	0.040231208	0.040231208	0.040231208
-0.684	0.2660011739	0.2660011739	0.2660011739	0.0405565469	0.0405565469	0.0405565469
-0.68	0.2670981863	0.2670981863	0.2670981863	0.0408848962	0.0408848962	0.0408848962
-0.676	0.2682053493	0.2682053493	0.2682053493	0.0412162836	0.0412162836	0.0412162836
-0.672	0.2693227567	0.2693227567	0.2693227567	0.0415507373	0.0415507373	0.0415507373
-0.668	0.2704505034	0.2704505034	0.2704505034	0.0418882857	0.0418882857	0.0418882857
-0.664	0.2715886849	0.2715886849	0.2715886849	0.0422289574	0.0422289574	0.0422289574
-0.66	0.272737398	0.272737398	0.272737398	0.0425727813	0.0425727813	0.0425727813
-0.656	0.2738967399	0.2738967399	0.2738967399	0.0429197865	0.0429197865	0.0429197865
-0.652	0.2750668091	0.2750668091	0.2750668091	0.0432700026	0.0432700026	0.0432700026
-0.648	0.2762477048	0.2762477048	0.2762477048	0.0436234591	0.0436234591	0.0436234591
-0.644	0.2774395273	0.2774395273	0.2774395273	0.0439801861	0.0439801861	0.0439801861
-0.64	0.2786423775	0.2786423775	0.2786423775	0.0443402139	0.0443402139	0.0443402139
-0.636	0.2798563575	0.2798563575	0.2798563575	0.044703573	0.044703573	0.044703573
-0.632	0.2810815704	0.2810815704	0.2810815704	0.0450702942	0.0450702942	0.0450702942
-0.628	0.28231812	0.28231812	0.28231812	0.0454404087	0.0454404087	0.0454404087
-0.624	0.2835661113	0.2835661113	0.2835661113	0.0458139478	0.0458139478	0.0458139478
-0.62	0.2848256501	0.2848256501	0.2848256501	0.0461909431	0.0461909431	0.0461909431
-0.616	0.2860968432	0.2860968432	0.2860968432	0.0465714268	0.0465714268	0.0465714268
-0.612	0.2873797986	0.2873797986	0.2873797986	0.0469554311	0.0469554311	0.0469554311
-0.608	0.288674625	0.288674625	0.288674625	0.0473429885	0.0473429885	0.0473429885
-0.604	0.2899814323	0.2899814323	0.2899814323	0.0477341319	0.0477341319	0.0477341319
-0.6	0.2909441781	0.2909441781	0.2909441781	0.048093998	0.048093998	0.048093998
-0.596	0.2916569096	0.2916569096	0.2916569096	0.0484318242	0.0484318242	0.0484318242
-0.592	0.2923762358	0.2923762358	0.2923762358	0.0487727764	0.0487727764	0.0487727764
-0.588	0.2931022179	0.2931022179	0.2931022179	0.0491168833	0.0491168833	0.0491168833
-0.584	0.2938349175	0.2938349175	0.2938349175	0.0494641741	0.0494641741	0.0494641741
-0.58	0.2945743966	0.2945743966	0.2945743966	0.0498146785	0.0498146785	0.0498146785
-0.576	0.295320718	0.295320718	0.295320718	0.050168426	0.050168426	0.050168426
-0.572	0.2960739451	0.2960739451	0.2960739451	0.0505254467	0.0505254467	0.0505254467
-0.568	0.2968341417	0.2968341417	0.2968341417	0.0508857708	0.0508857708	0.0508857708
-0.564	0.2976013723	0.2976013723	0.2976013723	0.051249429	0.051249429	0.051249429
-0.56	0.298375702	0.298375702	0.298375702	0.0516164521	0.0516164521	0.0516164521
-0.556	0.2991571964	0.2991571964	0.2991571964	0.0519868712	0.0519868712	0.0519868712
-0.552	0.299945922	0.299945922	0.299945922	0.0523607178	0.0523607178	0.0523607178
-0.548	0.3007419456	0.3007419456	0.3007419456	0.0527380235	0.0527380235	0.0527380235
-0.544	0.3015453346	0.3015453346	0.3015453346	0.0531188204	0.0531188204	0.0531188204
-0.54	0.3023561574	0.3023561574	0.3023561574	0.0535031407	0.0535031407	0.0535031407
-0.536	0.3031744825	0.3031744825	0.3031744825	0.0538910172	0.0538910172	0.0538910172
-0.532	0.3040003796	0.3040003796	0.3040003796	0.0542824826	0.0542824826	0.0542824826
-0.528	0.3048339186	0.3048339186	0.3048339186	0.0546775701	0.0546775701	0.0546775701
-0.524	0.3056751702	0.3056751702	0.3056751702	0.0550763134	0.0550763134	0.0550763134
-0.52	0.3060857406	0.3060857406	0.3060857406	0.0554201319	0.0554201319	0.0554201319
-0.516	0.3063844914	0.3063844914	0.3063844914	0.0557516757	0.0557516757	0.0557516757
-0.512	0.3066860065	0.3066860065	0.3066860065	0.0560862872	0.0560862872	0.0560862872
-0.508	0.3069903115	0.3069903115	0.3069903115	0.0564239948	0.0564239948	0.0564239948
-0.504	0.3072974323	0.3072974323	0.3072974323	0.0567648273	0.0567648273	0.0567648273
-0.5	0.3076073947	0.3076073947	0.3076073947	0.0571088134	0.0571088134	0.0571088134
-0.496	0.3079202252	0.3079202252	0.3079202252	0.0574559823	0.0574559823	0.0574559823
-0.492	0.3082359503	0.3082359503	0.3082359503	0.0578063636	0.0578063636	0.0578063636
-0.488	0.3085545968	0.3085545968	0.3085545968	0.058159987	0.058159987	0.058159987
-0.484	0.3088761916	0.3088761916	0.3088761916	0.0585168823	0.0585168823	0.0585168823
-0.48	0.3092007622	0.3092007622	0.3092007622	0.05887708	0.05887708	0.05887708
-0.476	0.3095283359	0.3095283359	0.3095283359	0.0592406105	0.0592406105	0.0592406105
-0.472	0.3098589407	0.3098589407	0.3098589407	0.0596075048	0.0596075048	0.0596075048
-0.468	0.3101926045	0.3101926045	0.3101926045	0.0599777938	0.0599777938	0.0599777938
-0.464	0.3105293557	0.3105293557	0.3105293557	0.0603515092	0.0603515092	0.0603515092
-0.46	0.3108692227	0.3108692227	0.3108692227	0.0607286824	0.0607286824	0.0607286824
-0.456	0.311250989	0.311250989	0.311250989	0.0611271603	0.0611271603	0.0611271603
-0.452	0.3122401468	0.3122401468	0.3122401468	0.0618069071	0.0618069071	0.0618069071
-0.448	0.3132384572	0.3132384572	0.3132384572	0.0624929435	0.0624929435	0.0624929435
-0.444	0.3142460049	0.3142460049	0.3142460049	0.0631853277	0.0631853277	0.0631853277
-0.44	0.3152628752	0.3152628752	0.3152628752	0.0638841185	0.0638841185	0.0638841185
-0.436	0.3162891546	0.3162891546	0.3162891546	0.0645893751	0.0645893751	0.0645893751
-0.432	0.31732493	0.31732493	0.31732493	0.0653011574	0.0653011574	0.0653011574
-0.428	0.3183702893	0.3183702893	0.3183702893	0.0660195257	0.0660195257	0.0660195257
-0.424	0.3194253212	0.3194253212	0.3194253212	0.066744541	0.066744541	0.066744541
-0.42	0.3204901152	0.3204901152	0.3204901152	0.0674762647	0.0674762647	0.0674762647
-0.416	0.3215647616	0.3215647616	0.3215647616	0.0682147591	0.0682147591	0.0682147591
-0.412	0.3226493516	0.3226493516	0.3226493516	0.0689600866	0.0689600866	0.0689600866
-0.408	0.3237439772	0.3237439772	0.3237439772	0.0697123106	0.0697123106	0.0697123106
-0.404	0.3248487312	0.3248487312	0.3248487312	0.0704714948	0.0704714948	0.0704714948
-0.4	0.3259637074	0.3259637074	0.3259637074	0.0712377036	0.0712377036	0.0712377036
-0.396	0.3267547609	0.3267547609	0.3267547609	0.0719032099	0.0719032099	0.0719032099
-0.392	0.3272961464	0.3272961464	0.3272961464	0.0724919954	0.0724919954	0.0724919954
-0.388	0.3278425413	0.3278425413	0.3278425413	0.0730862289	0.0730862289	0.0730862289
-0.384	0.3283939919	0.3283939919	0.3283939919	0.0736859608	0.0736859608	0.0736859608
-0.38	0.328950545	0.328950545	0.328950545	0.0742912419	0.0742912419	0.0742912419
-0.376	0.3295122479	0.3295122479	0.3295122479	0.0749021237	0.0749021237	0.0749021237
-0.372	0.3300791481	0.3300791481	0.3300791481	0.0755186578	0.0755186578	0.0755186578
-0.368	0.3306512937	0.3306512937	0.3306512937	0.0761408967	0.0761408967	0.0761408967
-0.364	0.3312287334	0.3312287334	0.3312287334	0.0767688931	0.0767688931	0.0767688931
